1940 -0.05 0.13 0.15 0.18 0.10 0.08 0.12 0.05 0.13 0.07 0.17 0.28 0.12 0.13 0.17 0.14 0.08 0.13 0.05
1941 0.21 0.32 0.08 0.17 0.14 0.12 0.21 0.14 0.02 0.33 0.24 0.21 0.18 0.19 0.27 0.13 0.16 0.20 0.05
1942 0.26 0.02 0.10 0.11 0.09 0.04 0.00 -0.04 -0.04 -0.01 0.08 0.07 0.06 0.07 0.16 0.10 0.00 0.01 0.05
1943 -0.04 0.13 -0.08 0.07 0.04 -0.06 0.08 0.00 0.06 0.22 0.20 0.24 0.07 0.06 0.06 0.01 0.01 0.16 0.05
1944 0.35 0.26 0.27 0.20 0.19 0.20 0.19 0.17 0.30 0.26 0.10 0.02 0.21 0.23 0.29 0.22 0.18 0.22 0.05
1945 0.10 -0.02 0.07 0.18 0.04 0.00 0.03 0.27 0.22 0.18 0.07 -0.09 0.09 0.10 0.03 0.10 0.10 0.16 0.05
1946 0.15 0.07 0.01 0.06 -0.08 -0.21 -0.14 -0.17 -0.07 -0.06 -0.06 -0.35 -0.07 -0.05 0.04 0.00 -0.17 -0.06 0.05
1947 -0.12 -0.08 0.07 0.07 -0.03 0.02 -0.07 -0.09 -0.13 0.05 0.02 -0.16 -0.04 -0.05 -0.18 0.04 -0.05 -0.02 0.05
1948 0.07 -0.16 -0.25 -0.11 0.01 -0.04 -0.11 -0.13 -0.11 -0.08 -0.12 -0.23 -0.11 -0.10 -0.08 -0.12 -0.09 -0.10 0.05
1949 0.09 -0.17 -0.03 -0.10 -0.08 -0.23 -0.14 -0.12 -0.14 -0.07 -0.10 -0.23 -0.11 -0.11 -0.10 -0.07 -0.16 -0.10 0.05
1950 -0.33 -0.28 -0.07 -0.20 -0.10 -0.03 -0.10 -0.17 -0.12 -0.22 -0.38 -0.20 -0.18 -0.19 -0.28 -0.12 -0.10 -0.24 0.05
1951 -0.34 -0.43 -0.21 -0.13 0.00 -0.02 0.03 0.06 0.09 0.05 -0.01 0.14 -0.06 -0.09 -0.32 -0.11 0.03 0.04 0.05
1952 0.13 0.11 -0.09 0.02 -0.02 -0.03 0.04 0.04 0.08 0.00 -0.14 -0.01 0.01 0.02 0.13 -0.03 0.02 -0.02 0.05
1953 0.08 0.15 0.11 0.18 0.09 0.11 0.00 0.06 0.05 0.06 -0.05 0.03 0.07 0.07 0.07 0.13 0.06 0.02 0.05
1954 -0.27 -0.12 -0.15 -0.16 -0.21 -0.17 -0.18 -0.16 -0.09 -0.04 0.06 -0.21 -0.14 -0.12 -0.12 -0.17 -0.17 -0.02 0.05
1955 0.14 -0.18 -0.34 -0.21 -0.20 -0.11 -0.12 0.01 -0.11 -0.05 -0.24 -0.30 -0.14 -0.14 -0.08 -0.25 -0.07 -0.13 0.05
1956 -0.16 -0.26 -0.23 -0.27 -0.31 -0.16 -0.12 -0.26 -0.20 -0.24 -0.17 -0.07 -0.20 -0.22 -0.24 -0.27 -0.18 -0.20 0.05
1957 -0.11 -0.04 -0.06 -0.01 0.09 0.16 0.01 0.15 0.09 0.01 0.06 0.16 0.04 0.02 -0.07 0.01 0.11 0.06 0.05
1958 0.39 0.24 0.11 0.03 0.07 -0.07 0.05 -0.03 -0.02 0.04 0.02 0.00 0.07 0.08 0.26 0.07 -0.02 0.01 0.05
1959 0.08 0.09 0.18 0.13 0.04 0.02 0.06 -0.02 -0.06 -0.09 -0.09 -0.02 0.03 0.03 0.06 0.12 0.02 -0.08 0.05
1960 -0.01 0.16 -0.34 -0.14 -0.07 -0.04 -0.03 0.01 0.07 0.07 -0.12 0.18 -0.02 -0.04 0.05 -0.18 -0.02 0.01 0.05
1961 0.07 0.19 0.08 0.12 0.11 0.11 0.00 0.03 0.07 0.00 0.03 -0.15 0.05 0.08 0.15 0.11 0.05 0.03 0.05
1962 0.07 0.14 0.12 0.04 -0.04 0.04 0.02 -0.01 0.01 0.00 0.07 0.00 0.04 0.03 0.02 0.04 0.02 0.03 0.05
1963 -0.02 0.20 -0.14 -0.06 -0.04 0.05 0.08 0.27 0.20 0.15 0.15 -0.01 0.07 0.07 0.06 -0.08 0.13 0.17 0.05
1964 -0.08 -0.13 -0.23 -0.32 -0.25 -0.02 -0.03 -0.21 -0.29 -0.31 -0.21 -0.30 -0.20 -0.17 -0.07 -0.27 -0.09 -0.27 0.05
